round,fl_accuracy_mean,fl_accuracy_std,fl_loss_mean,fl_loss_std,central_accuracy_mean,central_accuracy_std,central_loss_mean,central_loss_std,local_accuracy_mean,local_accuracy_std,local_loss_mean,local_loss_std
41,0.85,0.02041241452319317,0.6000227093696594,0.11249212262682343,0.9083333333333333,0.025685058345704066,0.4519683246811231,0.19571362787720228,0.50625,0.011692679333668594,6.83458977540334,0.1802852101194093
42,0.8708333333333332,0.02946278254943948,0.5067199865976969,0.14409281919301345,0.9125,0.03061862178478971,0.45645594646533333,0.1972263470635822,0.5333333333333333,0.023570226039551608,6.764170348644257,0.3443775628813427
43,0.8708333333333332,0.03118047822311616,0.6085569083690644,0.19184727008751815,0.9125,0.03061862178478971,0.46054924825827276,0.19591514506180255,0.5260416666666666,0.01284252917285203,6.760924879709879,0.22930914037270347
44,0.8624999999999999,0.02700308624336609,0.4821602443854014,0.10890220446057862,0.9125,0.03061862178478971,0.4550656413038572,0.20045588994791777,0.5343749999999999,0.016731644171051063,6.501742919286092,0.2853380171773588
45,0.8833333333333334,0.015590239111558074,0.5501231650511423,0.09402967993301121,0.9125,0.03061862178478971,0.46031264315048853,0.1994251200994325,0.5343749999999999,0.011692679333668545,6.599523710211119,0.2935579533826414
46,0.8708333333333332,0.04124789556921531,0.5368960628906886,0.21558820510359888,0.9125,0.03061862178478971,0.45840288847684857,0.20411257455471413,0.5291666666666667,0.019320038532282733,7.0420206665992735,0.44586379277455984
47,0.8833333333333333,0.005892556509887875,0.5631154855092366,0.12705710428196834,0.9125,0.03061862178478971,0.4636547625064849,0.2038274672243466,0.540625,0.013501543121683045,6.963568828503291,0.060747174734642334
48,0.875,0.017677669529663678,0.5293166689574719,0.07560003522417622,0.9125,0.03061862178478971,0.4598709687590599,0.20952070281165094,0.5375,0.011121956512532618,6.905058612426122,0.13429426840482067
49,0.8958333333333334,0.021245914639969964,0.5541338304678599,0.1209899228438104,0.9125,0.03061862178478971,0.4612035915255546,0.2109504966242785,0.5375,0.00255155181539918,7.021757173538208,0.3940895244310344
50,0.8875000000000001,0.030618621784789753,0.4909609044591586,0.18025029016567506,0.9125,0.03061862178478971,0.4664622520407041,0.2115697092327757,0.5333333333333333,0.01031197389230381,6.8660839955012,0.19809976981145017
